machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;places;label;arg;time
cenva;2048;64;64;8;max;ordered;247;;cores;;250;1750421
cenva;2048;32;32;8;max;ordered;247;;cores;;250;1659764
cenva;2048;128;128;1;max;task;51;;cores;;50;449655
cenva;2048;64;64;1;max;task;51;;cores;;50;464949
cenva;2048;32;32;1;max;task;51;;cores;;50;580800
cenva;2048;128;128;1;max;task;126;;cores;;125;1015643
cenva;2048;64;64;1;max;task;126;;cores;;125;1071684
cenva;2048;32;32;1;max;task;126;;cores;;125;1304120
cenva;2048;128;128;1;max;task;247;;cores;;250;2103798
cenva;2048;64;64;1;max;task;247;;cores;;250;2001915
cenva;2048;32;32;1;max;task;247;;cores;;250;2490014
cenva;2048;128;128;1;max;ordered;51;;cores;;50;411086
cenva;2048;64;64;1;max;ordered;51;;cores;;50;425217
cenva;2048;32;32;1;max;ordered;51;;cores;;50;403239
cenva;2048;128;128;1;max;ordered;126;;cores;;125;924357
cenva;2048;64;64;1;max;ordered;126;;cores;;125;929107
cenva;2048;32;32;1;max;ordered;126;;cores;;125;873809
cenva;2048;128;128;1;max;ordered;247;;cores;;250;1757983
cenva;2048;64;64;1;max;ordered;247;;cores;;250;1752942
cenva;2048;32;32;1;max;ordered;247;;cores;;250;1657582
cenva;2048;128;128;2;max;task;51;;cores;;50;240696
cenva;2048;64;64;2;max;task;51;;cores;;50;267178
cenva;2048;32;32;2;max;task;51;;cores;;50;420776
cenva;2048;128;128;2;max;task;126;;cores;;125;551965
cenva;2048;64;64;2;max;task;126;;cores;;125;581014
cenva;2048;32;32;2;max;task;126;;cores;;125;973652
cenva;2048;128;128;2;max;task;247;;cores;;250;1028575
cenva;2048;64;64;2;max;task;247;;cores;;250;1121889
cenva;2048;32;32;2;max;task;247;;cores;;250;1892129
cenva;2048;128;128;2;max;ordered;51;;cores;;50;415496
cenva;2048;64;64;2;max;ordered;51;;cores;;50;419695
cenva;2048;32;32;2;max;ordered;51;;cores;;50;402786
cenva;2048;128;128;2;max;ordered;126;;cores;;125;925916
cenva;2048;64;64;2;max;ordered;126;;cores;;125;923437
cenva;2048;32;32;2;max;ordered;126;;cores;;125;873109
cenva;2048;128;128;2;max;ordered;247;;cores;;250;1758201
cenva;2048;64;64;2;max;ordered;247;;cores;;250;1762689
cenva;2048;32;32;2;max;ordered;247;;cores;;250;1660131
cenva;2048;128;128;4;max;task;51;;cores;;50;133740
cenva;2048;64;64;4;max;task;51;;cores;;50;142736
cenva;2048;32;32;4;max;task;51;;cores;;50;230819
cenva;2048;128;128;4;max;task;126;;cores;;125;303476
cenva;2048;64;64;4;max;task;126;;cores;;125;321163
cenva;2048;32;32;4;max;task;126;;cores;;125;530130
cenva;2048;128;128;4;max;task;247;;cores;;250;572839
cenva;2048;64;64;4;max;task;247;;cores;;250;597319
cenva;2048;32;32;4;max;task;247;;cores;;250;1046484
cenva;2048;128;128;4;max;ordered;51;;cores;;50;408976
cenva;2048;64;64;4;max;ordered;51;;cores;;50;420193
cenva;2048;32;32;4;max;ordered;51;;cores;;50;411145
cenva;2048;128;128;4;max;ordered;126;;cores;;125;919751
cenva;2048;64;64;4;max;ordered;126;;cores;;125;935515
cenva;2048;32;32;4;max;ordered;126;;cores;;125;875438
cenva;2048;128;128;4;max;ordered;247;;cores;;250;1758608
cenva;2048;64;64;4;max;ordered;247;;cores;;250;1766109
cenva;2048;32;32;4;max;ordered;247;;cores;;250;1661807
cenva;2048;128;128;6;max;task;51;;cores;;50;108820
cenva;2048;64;64;6;max;task;51;;cores;;50;108988
cenva;2048;32;32;6;max;task;51;;cores;;50;226811
cenva;2048;128;128;6;max;task;126;;cores;;125;247259
cenva;2048;64;64;6;max;task;126;;cores;;125;243585
cenva;2048;32;32;6;max;task;126;;cores;;125;553012
cenva;2048;128;128;6;max;task;247;;cores;;250;471284
cenva;2048;64;64;6;max;task;247;;cores;;250;466366
cenva;2048;32;32;6;max;task;247;;cores;;250;1091275
cenva;2048;128;128;6;max;ordered;51;;cores;;50;404549
cenva;2048;64;64;6;max;ordered;51;;cores;;50;421098
cenva;2048;32;32;6;max;ordered;51;;cores;;50;403474
cenva;2048;128;128;6;max;ordered;126;;cores;;125;912910
cenva;2048;64;64;6;max;ordered;126;;cores;;125;930189
cenva;2048;32;32;6;max;ordered;126;;cores;;125;874337
cenva;2048;128;128;6;max;ordered;247;;cores;;250;1759385
cenva;2048;64;64;6;max;ordered;247;;cores;;250;1756096
cenva;2048;32;32;6;max;ordered;247;;cores;;250;1697377
cenva;2048;128;128;8;max;task;51;;cores;;50;103747
cenva;2048;64;64;8;max;task;51;;cores;;50;100455
cenva;2048;32;32;8;max;task;51;;cores;;50;229712
cenva;2048;128;128;8;max;task;126;;cores;;125;241091
cenva;2048;64;64;8;max;task;126;;cores;;125;227106
cenva;2048;32;32;8;max;task;126;;cores;;125;564432
cenva;2048;128;128;8;max;task;247;;cores;;250;466400
cenva;2048;64;64;8;max;task;247;;cores;;250;438810
cenva;2048;32;32;8;max;task;247;;cores;;250;1101580
cenva;2048;128;128;8;max;ordered;51;;cores;;50;409093
cenva;2048;64;64;8;max;ordered;51;;cores;;50;418902
cenva;2048;32;32;8;max;ordered;51;;cores;;50;402095
cenva;2048;128;128;8;max;ordered;126;;cores;;125;922956
cenva;2048;64;64;8;max;ordered;126;;cores;;125;922088
cenva;2048;32;32;8;max;ordered;126;;cores;;125;874519
cenva;2048;128;128;8;max;ordered;247;;cores;;250;1753461
cenva;2048;64;64;8;max;ordered;247;;cores;;250;1752188
cenva;2048;32;32;8;max;ordered;247;;cores;;250;1668825
cenva;2048;128;128;1;max;omp;51;static;cores;;50;381399
cenva;2048;64;64;1;max;omp;51;static;cores;;50;381915
cenva;2048;32;32;1;max;omp;51;static;cores;;50;381203
cenva;2048;128;128;1;max;omp;126;static;cores;;125;877697
