machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
cenva;2048;32;32;4;max;task;51;;unlabelled;50;235873
cenva;2048;32;32;4;max;task;51;;unlabelled;50;242930
cenva;2048;32;32;4;max;task;51;;unlabelled;50;259811
cenva;2048;32;32;4;max;task;51;;unlabelled;50;250681
cenva;2048;32;32;4;max;task;51;;unlabelled;50;239466
cenva;2048;32;32;4;max;task;51;;unlabelled;50;240962
cenva;2048;32;32;4;max;task;51;;unlabelled;50;238847
cenva;2048;128;128;4;max;task;126;;unlabelled;125;301267
cenva;2048;128;128;4;max;task;126;;unlabelled;125;302815
cenva;2048;128;128;4;max;task;126;;unlabelled;125;296407
cenva;2048;128;128;4;max;task;126;;unlabelled;125;297078
cenva;2048;128;128;4;max;task;126;;unlabelled;125;296652
cenva;2048;128;128;4;max;task;126;;unlabelled;125;295344
cenva;2048;128;128;4;max;task;126;;unlabelled;125;295209
cenva;2048;128;128;4;max;task;126;;unlabelled;125;296502
cenva;2048;128;128;4;max;task;126;;unlabelled;125;297620
cenva;2048;128;128;4;max;task;126;;unlabelled;125;327736
cenva;2048;64;64;4;max;task;126;;unlabelled;125;320358
cenva;2048;64;64;4;max;task;126;;unlabelled;125;336738
cenva;2048;64;64;4;max;task;126;;unlabelled;125;317149
cenva;2048;64;64;4;max;task;126;;unlabelled;125;314861
cenva;2048;64;64;4;max;task;126;;unlabelled;125;321761
cenva;2048;64;64;4;max;task;126;;unlabelled;125;320668
cenva;2048;64;64;4;max;task;126;;unlabelled;125;314524
cenva;2048;64;64;4;max;task;126;;unlabelled;125;314652
cenva;2048;64;64;4;max;task;126;;unlabelled;125;313168
cenva;2048;64;64;4;max;task;126;;unlabelled;125;337535
cenva;2048;32;32;4;max;task;126;;unlabelled;125;557046
cenva;2048;32;32;4;max;task;126;;unlabelled;125;586163
cenva;2048;32;32;4;max;task;126;;unlabelled;125;542647
cenva;2048;32;32;4;max;task;126;;unlabelled;125;545611
cenva;2048;32;32;4;max;task;126;;unlabelled;125;554256
cenva;2048;32;32;4;max;task;126;;unlabelled;125;546040
cenva;2048;32;32;4;max;task;126;;unlabelled;125;558824
cenva;2048;32;32;4;max;task;126;;unlabelled;125;552581
cenva;2048;32;32;4;max;task;126;;unlabelled;125;552565
cenva;2048;32;32;4;max;task;126;;unlabelled;125;546623
cenva;2048;128;128;4;max;task;247;;unlabelled;250;586417
cenva;2048;128;128;4;max;task;247;;unlabelled;250;604248
